canonical_title,alternate_historical_titles,family_id,predecessor_successor_links,print_ISSN,electronic_ISSN,country,publisher,society_or_association,active_status,OA_status,DOI_usage_quality,indexing_presence,likely_metadata_quality,hosting_platform,harvest_difficulty,likely_covered_by_OpenAlex,likely_underrepresented_in_global,hosted_via_OJS,harvestable_from_static_archives,relevance_classification,acquisition_priority,notes
The Australian Educational Researcher,,,,0311-6999,2210-5328,AU,Springer,AARE,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,AARE-associated flagship journal
Australian Journal of Education,,,,0004-9441,2050-5884,AU,SAGE/ACER,ACER,active,unknown,consistent,AEI|https://en.wikipedia.org/wiki/Australian_Journal_of_Education; Scopus|https://en.wikipedia.org/wiki/Australian_Journal_of_Education; SSCI|https://en.wikipedia.org/wiki/Australian_Journal_of_Education,high,publisher platform,low,yes,no,no,no,core,high,Core Australian education title; already well covered by major infrastructures. Evidence URL is secondary summary because publisher landing page was not re-opened in this pass.
Australian Journal of Teacher Education,,,,0313-5373,1835-517X,AU,Edith Cowan University,,active,unknown,inconsistent,Official archive/ISSN|https://ro.ecu.edu.au/ajte/,medium,Digital Commons,medium,partial,partial,no,yes,core,highest,Repository-hosted Digital Commons journal with deep archive and issue structure suited to direct crawl. Older records may require article-page rather than DOI-first ingest. Evidence: https://ro.ecu.edu.au/ajte/
New Zealand Journal of Educational Studies,,,,0028-8276,2199-4714,NZ,Springer,NZARE,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,NZARE-associated journal
Higher Education Research & Development,,,,0729-4360,1469-8366,AU,Taylor & Francis,HERDSA,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,"HERDSA-associated journal. Internationally strong metadata; include as core Australasian higher-education title, but expect little incremental gain from manual harvesting."
Australasian Journal of Educational Technology,Australian Journal of Educational Technology,F_AJET,Australian Journal of Educational Technology 0814-673X:1985-2003 -> Australasian Journal of Educational Technology 1449-3098/1449-5554:2004- ; merged International Journal of Educational Technology in 2007; merged e-Journal of Instructional Science and Technology in 2007,1449-3098,1449-5554,AU,ASCILITE,ASCILITE,active,diamond,consistent,Scopus|https://ajet.org.au/index.php/AJET; Web of Science|https://ajet.org.au/index.php/AJET; ACER research bank/AEI lineage|https://ajet.org.au/index.php/AJET; ERIC|https://ajet.org.au/index.php/AJET/history; DOAJ|https://ajet.org.au/index.php/AJET/history; EBSCO|https://ajet.org.au/index.php/AJET/history,high,OJS,low,yes,partial,yes,yes,core,highest,"Official history documents rename in 2004, print retirement in 2007, merger of IJET and e-JIST, and long archive with OCR-republished legacy issues. Build title-family authority record first. Evidence: https://ajet.org.au/index.php/AJET/history ; https://ajet.org.au/index.php/AJET"
Australasian Journal of Early Childhood,,,,1836-9391,1839-5961,AU,SAGE/ECA,Early Childhood Australia,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Core early childhood journal
Australian Educational Computing,,,,0816-9020,,AU,Australian Council for Computers in Education,ACCE,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,May have uneven indexing
Australian Journal of Adult Learning,,,,1443-1394,,AU,Adult Learning Australia,Adult Learning Australia,active,unknown,none,unknown,low,static archive,high,partial,yes,unknown,yes,core,high,Adult and lifelong learning | Deep research: Adult Learning Australia journal; adult/community education likely missed by school-centric harvests; DOI use unclear; direct issue/article capture advisable.
Australian Journal of Environmental Education,,,,0814-0626,2049-775X,AU,Cambridge University Press,Australian Association for Environmental Education,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Environmental/sustainability education
The Australian Journal of Indigenous Education,,F_AJIE,Cambridge platform through Volume 50/2021 -> University of Queensland platform from Volume 51/2022; open access online from 2022,1326-0111,2049-7784,AU,Cambridge University Press,,migrated,diamond,consistent,DOAJ|https://ajie.atsis.uq.edu.au/ajie; Informit logo/current platform|https://ajie.atsis.uq.edu.au/ajie; Cambridge title-history notice|https://www.cambridge.org/core/journals/australian-journal-of-indigenous-education,medium,OJS,medium,partial,partial,yes,yes,core,highest,Major platform migration case. Cambridge states publication ceased there after Volume 50/2021; UQ hosts current OA series and notes DOAJ acceptance in 2022. Split harvesting by era and reconcile by ISSN/title. Evidence: https://www.cambridge.org/core/journals/australian-journal-of-indigenous-education ; https://ajie.atsis.uq.edu.au/ajie
The Australian Journal of Language and Literacy,,,,1038-1562,1839-4728,AU,Springer,ALEA,active,unknown,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Literacy/language education | Deep research: ALEA research journal; Springer plus Informit/library records; pre-Springer transition is a risk.
Australian Journal of Learning Difficulties,,,,1940-4158,1940-4166,AU,Taylor & Francis,,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Learning difficulties/inclusion
Australian Journal of Music Education,,,,0004-9484,,AU,Australian Society for Music Education,Australian Society for Music Education,active,unknown,none,unknown,low,static archive,high,partial,yes,unknown,yes,practitioner,high,May have incomplete DOI coverage
Australian Mathematics Education Journal,,F_AAMT,Australian Mathematics Teacher 0045-0685 and Australian Senior Mathematics Journal 0819-4564 -> Australian Mathematics Education Journal 2652-7808/2652-7816,2652-7808,2652-7816,AU,Mathematical Association of Victoria/others,AAMT,active,unknown,inconsistent,unknown,low,unknown,high,partial,yes,unknown,unknown,practitioner,high,Check exact publisher/history | Deep research: AAMT current journal absorbs former Australian Mathematics Teacher and Australian Senior Mathematics Journal; needs title-history mapping.
Mathematics Education Research Journal,,,,1033-2170,2211-050X,AU,Springer,MERGA,active,hybrid,consistent,MERGA/Springer overview|https://en.wikipedia.org/wiki/Mathematics_Education_Research_Journal,high,publisher platform,low,yes,no,no,no,core,high,MERGA flagship title with strong international metadata. Secondary evidence used for indexing summary; use publisher DOI feeds for acquisition.
