registry_id,title,issn_print,issn_online,country,region,journal_type,priority_band,active,publisher,notes
J000001,The Australian Educational Researcher,0311-6999,2210-5328,AU,AU,education,core,true,Springer,AARE-associated flagship journal
J000002,Australian Journal of Education,0004-9441,2050-5884,AU,AU,education,core,true,SAGE/ACER,Core Australian education journal
J000003,Australian Journal of Teacher Education,0313-5373,1835-517X,AU,AU,teacher_education,core,true,Edith Cowan University,Known source-name corruption previously observed | Deep research: ECU-hosted institutional-platform journal; long archive; Informit-listed; older records may need direct ECU harvest.
J000004,New Zealand Journal of Educational Studies,0028-8276,2199-4714,NZ,NZ,education,core,true,Springer,NZARE-associated journal
J000005,Teaching and Teacher Education,0742-051X,1879-2480,International,International,teacher_education,adjacent,true,Elsevier,International but important for AU/NZ teacher education
J000006,Higher Education Research & Development,0729-4360,1469-8366,AU,AU,higher_education,core,true,Taylor & Francis,HERDSA-associated journal | Deep research: HERDSA journal established 1982; strongly indexed internationally; useful for HERDSA-network author identification.
J000007,Australasian Journal of Educational Technology,1449-3098,1449-5554,AU,AU,educational_technology,core,true,ASCILITE,Core edtech journal | Deep research: current title adopted in 2004 from Australian Journal of Educational Technology; OJS archive; Scopus/WoS indexed; title-history risk.
J000008,Australasian Journal of Early Childhood,1836-9391,1839-5961,AU,AU,early_childhood,core,true,SAGE/ECA,Core early childhood journal
J000009,Australian Educational Computing,0816-9020,,AU,AU,educational_technology,core,true,Australian Council for Computers in Education,May have uneven indexing
J000010,Australian Journal of Adult Learning,1443-1394,,AU,AU,adult_learning,core,true,Adult Learning Australia,Adult and lifelong learning | Deep research: Adult Learning Australia journal; adult/community education likely missed by school-centric harvests; DOI use unclear; direct issue/article capture advisable.
J000011,Australian Journal of Environmental Education,0814-0626,2049-775X,AU,AU,environmental_education,core,true,Cambridge University Press,Environmental/sustainability education
J000012,The Australian Journal of Indigenous Education,1326-0111,2049-7784,AU,AU,indigenous_education,core,true,Cambridge University Press,Important Indigenous education source | Deep research: Cambridge through 2021 then UQ from 2022; platform transfer is a record-linking risk; essential Indigenous education title.
J000013,The Australian Journal of Language and Literacy,1038-1562,1839-4728,AU,AU,literacy,core,true,Springer,Literacy/language education | Deep research: ALEA research journal; Springer plus Informit/library records; pre-Springer transition is a risk.
J000014,Australian Journal of Learning Difficulties,1940-4158,1940-4166,AU,AU,inclusive_education,core,true,Taylor & Francis,Learning difficulties/inclusion
J000015,Australian Journal of Music Education,0004-9484,,AU,AU,arts_education,core,true,Australian Society for Music Education,May have incomplete DOI coverage
J000016,Australian Mathematics Education Journal,2652-7808,2652-7816,AU,AU,mathematics_education,core,true,Mathematical Association of Victoria/others,Check exact publisher/history | Deep research: AAMT current journal absorbs former Australian Mathematics Teacher and Australian Senior Mathematics Journal; needs title-history mapping.
J000017,Mathematics Education Research Journal,1033-2170,2211-050X,AU,AU,mathematics_education,core,true,Springer,MERGA-associated | Deep research: MERGA flagship; Springer; modern coverage likely strong; still important for MERGA ecosystem mapping.
